treatment,value,value_log,value_std,value_sqrt,plot_name,plot_type,year,interval,grazer,f_year,f_break,f_new,f_one_yr,f_two_yr,met_sub,subset
Ungrazed,19,2.944439031798018,-1.0007554087451866,4.358898943540674,p33,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,46,3.828641418228225,-0.15189636443659563,6.782329983125268,p33,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,84,4.430816810748075,1.0427941423680882,9.16515138991168,p34,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,85,4.442651268255022,1.0742333662313694,9.219544457292887,p34,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,24,3.1780538720146114,-0.843559289428781,4.898979485566356,p34,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,60,4.094344578888768,0.28825276964934055,7.745966692414834,p34,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,57,4.04305128537841,0.19393509805949707,7.54983443527075,p34,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,72,4.2766661329049445,0.6655234560087144,8.48528137423857,p34,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,66,4.189654757177941,0.47688811282902743,8.12403840463596,p35,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,55,4.007333203414289,0.13105665033293476,7.416198487095663,p35,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,29,3.367295864469232,-0.6863631701123752,5.385164807134504,p35,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,9,2.1972246884473243,-1.3151476473779984,3,p35,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,27,3.2958369030413657,-0.7492416178389375,5.196152422706632,p35,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,77,4.3438054348406965,0.8227195753251202,8.774964387392123,p35,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,97,4.574710988812661,1.4515040525907432,9.848857801796104,p36,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,70,4.248495256335073,0.6026450082821521,8.366600265340756,p36,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,12,2.48490673312133,-1.2208299757881549,3.4641016151377544,p36,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
