treatment,value,value_log,value_std,value_sqrt,plot_name,plot_type,year,grazer,f_year,f_break,f_new,f_one_yr,f_two_yr,met_sub
Grazed,14,2.639057401,-1.157951528,3.741657387,p40,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Ungrazed,14,2.639057401,-1.157951528,3.741657387,p40,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,11,2.397895364,-1.2522692,3.31662479,p40,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,60,4.094344579,0.28825277,7.745966692,p41,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Grazed,45,3.806662512,-0.183335588,6.708203932,p41,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Ungrazed,68,4.21950772,0.539766561,8.246211251,p41,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Grazed,38,3.637586186,-0.403410155,6.164414003,p41,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Ungrazed,21,3.044522485,-0.937876961,4.582575695,p41,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,35,3.55534809,-0.497727827,5.916079783,p41,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,50,3.912023025,-0.026139469,7.071067812,p42,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Grazed,49,3.891820319,-0.057578693,7,p42,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Ungrazed,31,3.433987237,-0.623484722,5.567764363,p42,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Grazed,31,3.433987237,-0.623484722,5.567764363,p42,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Ungrazed,55,4.007333203,0.13105665,7.416198487,p42,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,53,3.970291932,0.068178203,7.280109889,p42,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,21,3.044522485,-0.937876961,4.582575695,p43,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Grazed,29,3.367295864,-0.68636317,5.385164807,p43,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
