orig_plot,plot_type,plot_name,f_grazed,month,treatment
PER P14_G_5,p,p14,g1,5,Grazed
PER P15_G_4,p,p15,g1,4,Grazed
PER P15_G_5,p,p15,g1,5,Grazed
PER P16_G_4,p,p16,g1,4,Grazed
PER P16_G_5,p,p16,g1,5,Grazed
PER P17_G_4,p,p17,g1,4,Grazed
PER P17_G_5,p,p17,g1,5,Grazed
PER P18_G_4,p,p18,g1,4,Grazed
PER P18_G_5,p,p18,g1,5,Grazed
PER P19_G_4,p,p19,g1,4,Grazed
PER P19_G_5,p,p19,g1,5,Grazed
PER P20_G_4,p,p20,g1,4,Grazed
PER P20_G_5,p,p20,g1,5,Grazed
PER P21_G_4,p,p21,g1,4,Grazed
PER P21_G_5,p,p21,g1,5,Grazed
PER P22_G_4,p,p22,g1,4,Grazed
PER P22_G_5,p,p22,g1,5,Grazed
PER P23_G_4,p,p23,g1,4,Grazed
PER P23_G_5,p,p23,g1,5,Grazed
PER P24_G_4,p,p24,g1,4,Grazed
PER P24_G_5,p,p24,g1,5,Grazed
PER P25_G_4,p,p25,g1,4,Grazed
PER P25_G_5,p,p25,g1,5,Grazed
PER P26_G_5,p,p26,g1,5,Grazed
PER P27_G_4,p,p27,g1,4,Grazed
PER P27_G_5,p,p27,g1,5,Grazed
PER P28_G_4,p,p28,g1,4,Grazed
PER P28_G_5,p,p28,g1,5,Grazed
PER P29_G_4,p,p29,g1,4,Grazed
PER P29_G_5,p,p29,g1,5,Grazed
PER P30_G_4,p,p30,g1,4,Grazed
PER P30_G_5,p,p30,g1,5,Grazed
PER P31_G_4,p,p31,g1,4,Grazed
PER P31_G_5,p,p31,g1,5,Grazed
PER P32_G_4,p,p32,g1,4,Grazed
PER P32_G_5,p,p32,g1,5,Grazed
PER P33_G_4,p,p33,g1,4,Grazed
PER P33_G_5,p,p33,g1,5,Grazed
PER P34_G_4,p,p34,g1,4,Grazed
PER P34_G_5,p,p34,g1,5,Grazed
PER P35_G_4,p,p35,g1,4,Grazed
PER P35_G_5,p,p35,g1,5,Grazed
PER P36_G_4,p,p36,g1,4,Grazed
PER P36_G_5,p,p36,g1,5,Grazed
PER P37_G_4,p,p37,g1,4,Grazed
PER P37_G_5,p,p37,g1,5,Grazed
PER P38_G_4,p,p38,g1,4,Grazed
PER P38_G_5,p,p38,g1,5,Grazed
PER P39_G_4,p,p39,g1,4,Grazed
PER P39_G_5,p,p39,g1,5,Grazed
PER P40_G_4,p,p40,g1,4,Grazed
PER P40_G_5,p,p40,g1,5,Grazed
PER P41_G_4,p,p41,g1,4,Grazed
PER P41_G_5,p,p41,g1,5,Grazed
PER P42_G_4,p,p42,g1,4,Grazed
PER P42_G_5,p,p42,g1,5,Grazed
PER P43_G_4,p,p43,g1,4,Grazed
PER P43_G_5,p,p43,g1,5,Grazed
PER P44_G_4,p,p44,g1,4,Grazed
PER P44_G_5,p,p44,g1,5,Grazed
